Text,label
I'm always trying to anticipate and prepare for potential problems.,non-target
It's like my heart races faster than I can keep up with.,Panic Disorder
"Some moments, it feels like the world is crashing down around me.",Panic Disorder
nobody like leatherhead,non-target
There are times when my mind feels like a storm I can't escape.,Panic Disorder
I'm avoiding places that remind me of past panic attacks.,Panic Disorder
is ready to go to bed long day tomorrow,non-target
shedfire mrsshedfire been taking picture of you without your shirt bleeeech,non-target
There are times when the noise in my head is louder than the world around me.,Panic Disorder
I'm experiencing a sense of unreality during an attack.,Panic Disorder
kourtneykardash i need get my beach bod back,non-target
Trying to find outlets for emotional energy that won't cause harm.,non-target
I'm avoiding situations that might trigger my panic.,Panic Disorder
I feel like I'm drowning in my own fear.,Panic Disorder
Feeling like I'm trying to navigate through a world of uncertainty and doubt.,non-target
doe anyone else miss chatting in chat room i do but can t find one i feel comfortable in suggestion please,non-target
I'm constantly bracing myself for the worst outcomes.,non-target
"Trying to catch my breath, even when I'm not physically running.",Panic Disorder
I'm avoiding things I used to love because of the fear of panic.,Panic Disorder
The fear of making a mistake can keep me from even trying.,non-target
Feeling like I'm constantly walking on a tightrope of emotional intensity.,non-target
Trying to find small moments of joy amidst the overall struggle.,non-target
I feel like I'm stuck in this never-ending sadness.,non-target
The pursuit of greatness propels me forward every day.,non-target
I'm terrified of not being able to escape during an attack.,Panic Disorder
The sensation of being trapped in a never-ending cycle of fear is intense.,Panic Disorder
I find it hard to acknowledge others' strengths or achievements.,non-target
My anger feels like a heavy weight that I can't shake off.,non-target
It's like I'm trying to navigate through a maze of strong emotional reactions.,non-target
I'm avoiding triggers even if they're things I used to enjoy.,Panic Disorder
The challenge is to find ways to channel intense emotions into positive actions.,non-target
I'm unable to think clearly when panic sets in.,Panic Disorder
I'm terrified that I'm going to die.,Panic Disorder
"Sometimes, the smallest decisions feel like they carry the weight of the world.",non-target
I feel like I'm going to lose control any second.,Panic Disorder
"Even in a room full of people, I know I'm the most captivating.",non-target
I'm struggling to find a way to stop the panic.,Panic Disorder
My anger is like a fire that burns me from the inside.,non-target
"The weight of sadness can be overwhelming, even on seemingly good days.",non-target
"The fear can grip me suddenly, making every second feel like an eternity.",Panic Disorder
I'm constantly monitoring my body for signs of panic.,Panic Disorder
"Feeling like I'm on edge, as if any moment could set off intense feelings.",non-target
I'm isolating myself to avoid triggering panic.,Panic Disorder
I'm struggling to make plans because I fear an attack.,Panic Disorder
I'm constantly searching for strategies to manage my anger.,non-target
"Feeling like I'm constantly on guard, waiting for something to happen.",Panic Disorder
I'm losing sleep over things that may never happen.,non-target
"The fear of the unknown can be paralyzing, holding me back from taking action.",non-target
"My chest feels tight, and I'm struggling to breathe.",Panic Disorder
I'm consumed by fear and can't escape it.,Panic Disorder
I feel like I'm trapped in my own body.,Panic Disorder
I'm convinced that my opinions are always the most insightful.,non-target
can t sleep i hate these night when i try to go to bed early and stay awake for hour poo,non-target
Feeling like I'm trapped in a cycle of numbness and pain.,non-target
nick carter aww nick i like your hair longer why did you cut it off break my heart,non-target
The tension in my body can feel like I'm carrying an invisible weight.,Panic Disorder
"I'm dizzy and disoriented, and it's frightening.",Panic Disorder
I'm struggling to stay grounded during an attack.,Panic Disorder
I'm terrified of the unpredictability of panic.,Panic Disorder
I'm sweating profusely and can't stop.,Panic Disorder
The rush of anxiety can make it feel like I'm in freefall.,Panic Disorder
I'm struggling to keep my thoughts from spiraling out of control.,Panic Disorder
I feel like my anger is a barrier to intimacy and connection.,non-target
home mc bored missing him who him sigh im bored tadi exam amp wa okay thursday lagi exam gaaaaaaaaaaaaaahhh,non-target
"My thoughts can become a maze of fear, with no clear way out.",Panic Disorder
I'm feeling like I'm in a nightmare that I can't wake up from.,Panic Disorder
"The sensation of dread can wash over me in waves, unbidden.",Panic Disorder
I can't focus on anything except the panic.,Panic Disorder
I feel like I'm constantly battling with my own rage.,non-target
I expect people to cater to my desires and preferences.,non-target
"Even when there's no immediate danger, the fear can still consume me.",Panic Disorder
Isolation can feel like both a comfort and a curse.,non-target
"Even when nothing's wrong, my mind can be a storm of worry and panic.",Panic Disorder
I'm tired of feeling so out of control when I get angry.,non-target
Trying to find a way to silence the relentless critic in my head.,non-target
It's like I'm trying to steer a ship through choppy emotional waters.,non-target
fadyanwar it sad cause that wa the last gsm company owned by egyptian also orascom wa inforced to sell it share to fc,non-target
The sensation of impending doom can be inescapable and overwhelming.,Panic Disorder
I feel like I'm losing my sanity during an attack.,Panic Disorder
I feel like I'm caught in a cycle of panic that won't end.,Panic Disorder
I'm feeling like my body and mind are betraying me.,Panic Disorder
"The struggle is real, and finding healthy ways to manage emotions is key.",non-target
dang won t be able to get to any workshop run by web direction,non-target
I feel so empty inside.,non-target
"My thoughts can become a maze, leading me in circles of panic.",Panic Disorder
I feel like I'm trapped in a never-ending cycle of panic.,Panic Disorder
I'm terrified of losing control and acting irrationally.,Panic Disorder
Trying to find a way to quiet the storm of panic in my mind.,Panic Disorder
I feel like I'm being consumed by panic.,Panic Disorder
"The struggle is real, even when I manage to keep moving forward.",non-target
is depressed he isn t going to be able to see david archuleta,non-target
"Even when I don't want to react strongly, my emotions can surge unexpectedly.",non-target
"I want to change, but my anger seems uncontrollable.",non-target
Trying to find the delicate balance between confidence and humility.,non-target
I'm afraid of losing touch with reality completely.,Panic Disorder
I'm constantly berating myself for my perceived failures.,non-target
kenmcguire sorry i had to be the one to confirm your darkest fear,non-target
It's hard to describe the sensation of being trapped in my own fear.,Panic Disorder
Trying to find a lifeline when fear threatens to pull me under.,Panic Disorder
I'm avoiding situations where I might have to confront my fears.,non-target
"Some days, I find it hard to focus on anything but my own achievements.",non-target
I'm avoiding triggers even if they seem harmless to others.,non-target
I'm convinced that my body is betraying me during an attack.,Panic Disorder
I'm convinced something terrible is about to happen.,Panic Disorder
Feeling like I'm on a path to success that others can't understand.,non-target
I'm scared that I'll never be free from this fear.,Panic Disorder
aww sandra cantu is found dead in a suitcase missing child story never seem to go good poor family,non-target
"It's like a surge of electricity runs through me, jolting my senses.",Panic Disorder
i miss family guyyy,non-target
I feel entitled to success and admiration from others.,non-target
sleep til noon i did it wa the only one left but i got tempted and ate it soon a i got home i had a chocolate velvet amp ate d mocha,non-target
"It's like I'm constantly waiting for something to go wrong, even when it doesn't.",Panic Disorder
It's like I'm carrying a weight of emotions that's hard to put down.,non-target
I'm avoiding situations where escape might be difficult.,Panic Disorder
Trying to find a way to slow down the racing thoughts in my head.,Panic Disorder
Feeling like I'm stuck in a loop of dread that won't let go.,Panic Disorder
I'm terrified of not being able to escape a panic-inducing situation.,Panic Disorder
I feel like I'm pushing people away with my explosive reactions.,non-target
I'm worried about how others perceive me when I panic.,Panic Disorder
