Text,label
"Even when everything's okay, my mind can convince me otherwise.",non-target
doe anyone else miss chatting in chat room i do but can t find one i feel comfortable in suggestion please,non-target
now i want amanita someone made me feel unliving,non-target
smarrison i would ve been the first but i didn t have a gun not really though zac snyder s just a doucheclown,non-target
I'm convinced that others should be honored to know me.,Narcissistic Disorder
kenmcguire sorry i had to be the one to confirm your darkest fear,non-target
Feeling like I have the ability to turn dreams into reality.,Narcissistic Disorder
It's hard to explain the feeling of standing at the forefront of life's journey.,Narcissistic Disorder
It's like I'm a force of nature that can't be ignored.,Narcissistic Disorder
I feel like I'm constantly battling with my own rage.,non-target
Trying to find a balance between self-confidence and humility.,Narcissistic Disorder
"Some days, I find it hard to focus on anything but my own achievements.",Narcissistic Disorder
Trying to find outlets for emotional energy that won't cause harm.,non-target
I feel entitled to receive constant admiration from others.,Narcissistic Disorder
Feeling like my potential for greatness is limitless.,Narcissistic Disorder
"The loneliness can be suffocating, even in a room full of people.",non-target
It's hard to explain the rush of adrenaline that surges through me.,non-target
I'm paralyzed with fear and can't move.,non-target
"Some moments, it feels like the world is crashing down around me.",non-target
Feeling like I'm on a path to success that others can't understand.,Narcissistic Disorder
It's hard to describe the feeling of being trapped within myself.,non-target
It's like I'm trying to steer a ship through choppy emotional waters.,non-target
I'm entitled to special privileges because I'm unique.,Narcissistic Disorder
The challenge is to find ways to channel intense emotions into positive actions.,non-target
i miss family guyyy,non-target
Feeling like my achievements are a testament to my extraordinary abilities.,Narcissistic Disorder
I'm convinced that I'm more attractive than most people.,Narcissistic Disorder
nobody like leatherhead,non-target
"I'm the best at everything I do, no one can compare.",Narcissistic Disorder
Feeling like I'm carrying a weight of apprehension that's hard to shake.,non-target
I often talk about my own achievements and talents.,Narcissistic Disorder
The belief in my unique qualities can sometimes be misconstrued.,Narcissistic Disorder
Feeling like I'm constantly walking on a tightrope of emotional intensity.,non-target
"Even in a room full of people, I know I'm the most captivating.",Narcissistic Disorder
Feeling like I'm on a roller coaster of emotions that won't slow down.,non-target
I'm constantly bracing myself for the worst outcomes.,non-target
Trying to maintain a balance between self-assuredness and empathy.,Narcissistic Disorder
The sensation of being trapped in a never-ending cycle of fear is intense.,non-target
"The fear can grip me suddenly, making every second feel like an eternity.",non-target
I feel like I'm going to lose control any second.,non-target
i m trying to plan trip low budget though don t think it is working,non-target
The pursuit of success propels me forward with determination.,Narcissistic Disorder
I'm terrified of not being able to escape during an attack.,non-target
The pursuit of excellence is a lifelong journey.,Narcissistic Disorder
I believe I deserve admiration simply for being me.,Narcissistic Disorder
I'm always trying to anticipate and prepare for potential problems.,non-target
I wish I could find the light in the darkness I often feel.,non-target
Trying to express my self-assuredness while uplifting others.,Narcissistic Disorder
I expect people to be fascinated by my stories and experiences.,Narcissistic Disorder
"Even in moments of doubt, I know my strengths set me apart.",Narcissistic Disorder
I can't tolerate criticism because it hurts my ego.,Narcissistic Disorder
I find it hard to genuinely celebrate others' successes.,Narcissistic Disorder
I believe I'm more deserving of recognition than others.,Narcissistic Disorder
I often disregard others' feelings if they conflict with my goals.,Narcissistic Disorder
one of the hardest thing with this schedule no one i can chat with at the end of my day usually,non-target
"Even in moments of doubt, I know I have a unique perspective.",Narcissistic Disorder
I expect people to validate my emotions and experiences.,Narcissistic Disorder
"Sometimes, the smallest decisions feel like they carry the weight of the world.",non-target
I'm annoyed when others don't appreciate my advice.,Narcissistic Disorder
The desire for excellence can be a powerful motivator.,Narcissistic Disorder
I need to be the best in any group I'm a part of.,Narcissistic Disorder
I'm convinced that my body is betraying me during an attack.,non-target
"Even when challenges arise, I am confident in my ability to overcome.",Narcissistic Disorder
I need constant validation and approval from others.,Narcissistic Disorder
I deserve recognition and praise for my achievements.,Narcissistic Disorder
"Feeling like I'm standing on the edge of a precipice, afraid to move.",non-target
can t sleep i hate these night when i try to go to bed early and stay awake for hour poo,non-target
I deserve special treatment because I'm exceptional.,Narcissistic Disorder
Trying to strike a harmonious balance between self-confidence and empathy.,Narcissistic Disorder
I expect people to cater to my needs and desires.,Narcissistic Disorder
I expect others to admire and look up to me.,Narcissistic Disorder
"Even in moments of calm, my heart can race as if I'm in danger.",non-target
Trying to find small moments of joy amidst the overall struggle.,non-target
The rush of anxiety can make it feel like I'm in freefall.,non-target
"Feeling like I'm a trailblazer, forging a path for others to follow.",Narcissistic Disorder
I'm convinced that my opinions are always the most insightful.,Narcissistic Disorder
It's like I'm carrying a heavy secret that's eating me up inside.,non-target
I expect people to listen and agree with what I say.,Narcissistic Disorder
"Even when I don't want to react strongly, my emotions can surge unexpectedly.",non-target
I deserve the best of everything because I'm superior.,Narcissistic Disorder
Feeling like my ambitions are connected to a bigger purpose.,Narcissistic Disorder
I feel like my anger is a barrier to intimacy and connection.,non-target
I expect people to be impressed by my status and accomplishments.,Narcissistic Disorder
"I'm dizzy and disoriented, and it's frightening.",non-target
My anger feels like a heavy weight that I can't shake off.,non-target
"The fear of the unknown can be paralyzing, holding me back from taking action.",non-target
It's tough when even the simplest tasks become overwhelming.,non-target
I'm avoiding situations that might make me feel vulnerable or exposed.,non-target
"The weight of sadness can be overwhelming, even on seemingly good days.",non-target
I feel entitled to success and admiration from others.,Narcissistic Disorder
"The struggle is real, even when I manage to keep moving forward.",non-target
I find it hard to handle rejection or being ignored.,Narcissistic Disorder
"I often put myself first, even if it inconveniences others.",Narcissistic Disorder
I wish I could find a way to manage my anger before it escalates.,non-target
I'm avoiding new experiences because they trigger my anxiety.,non-target
Trying to exude charisma without overshadowing others.,Narcissistic Disorder
I'm dismissive of people I consider beneath me.,Narcissistic Disorder
I feel like I'm carrying the weight of the world on my shoulders.,non-target
"I often brag about my possessions, accomplishments, or status.",Narcissistic Disorder
fuck len wein s house caught fire earlier today the family is safe but they lost their dog,non-target
home mc bored missing him who him sigh im bored tadi exam amp wa okay thursday lagi exam gaaaaaaaaaaaaaahhh,non-target
"It's like my mind is a theater, playing worst-case scenarios on repeat.",non-target
is ready to go to bed long day tomorrow,non-target
I'm avoiding places that remind me of past panic attacks.,non-target
Trying to express my viewpoints with a blend of self-assuredness and empathy.,Narcissistic Disorder
I often compare myself to others to prove my superiority.,Narcissistic Disorder
It's like I'm a star shining brightly in a universe of mediocrity.,Narcissistic Disorder
i am scheduled to be very productive on a few hr and i still can not sleep insomia ha gotten to me,non-target
"Even when I'm quiet, I know my presence commands attention.",Narcissistic Disorder
I'm having a racing mind full of fearful thoughts.,non-target
twxtd jordan i wish i could i have to keep my door open for other people that may need me,non-target
I feel entitled to admiration and attention.,Narcissistic Disorder
I'm focused on being the best at whatever I do.,Narcissistic Disorder
Feeling like I'm a beacon of light in a sea of mediocrity.,Narcissistic Disorder
I struggle to accept my flaws or limitations.,Narcissistic Disorder
"Feeling like I'm on edge, as if any moment could set off intense feelings.",non-target
I'm uncomfortable when I'm not the center of attention.,Narcissistic Disorder
I'm avoiding situations that might lead to a panic episode.,non-target
I feel like I can't escape the grip of anxiety.,non-target
Feeling like I'm destined to make a mark on the world.,Narcissistic Disorder
I feel so empty inside.,non-target
"There are times when my mind is a storm, making it hard to focus.",non-target
I expect people to cater to my desires and preferences.,Narcissistic Disorder
It's like I have a fire inside me that flares up unexpectedly.,non-target
It's like I'm a masterpiece that everyone should admire.,Narcissistic Disorder
"I'm constantly grappling with my own anger, trying to contain it.",non-target
The pressure to avoid missteps can keep me from taking steps forward.,non-target
I'm convinced that others should be in awe of me.,Narcissistic Disorder
"Even in the face of challenges, I know I have what it takes.",Narcissistic Disorder
I often manipulate others to ensure they admire or adore me.,Narcissistic Disorder
"Feeling like I'm constantly scanning for signs of trouble, even when there's none.",non-target
I expect others to recognize my value without me needing to prove it.,Narcissistic Disorder
I'm isolating myself because I'm afraid of being rejected.,non-target
I often exploit situations to my advantage.,Narcissistic Disorder
Feeling like I'm carrying a weight of concern that's hard to put down.,non-target
"Even when I'm silent, I command the room's focus.",Narcissistic Disorder
I expect others to go out of their way to please me.,Narcissistic Disorder
I'm worried about embarrassing myself in front of others.,non-target
I'm constantly imagining worst-case scenarios.,non-target
I'm desperate to escape the overwhelming fear.,non-target
Trying to find the balance between self-confidence and humility.,Narcissistic Disorder
I'm envious of those who receive more attention than I do.,Narcissistic Disorder
"My thoughts can spiral out of control, making everything feel dangerous.",non-target
I'm uncomfortable when others challenge my authority or knowledge.,Narcissistic Disorder
I expect people to validate my feelings and opinions.,Narcissistic Disorder
on the train sans guardian,non-target
The pursuit of success is like an ever-burning flame inside me.,Narcissistic Disorder
"I feel so alone, even in a crowd.",non-target
I expect others to admire my taste and choices.,Narcissistic Disorder
The challenge is finding ways to handle powerful emotional reactions.,non-target
aww sandra cantu is found dead in a suitcase missing child story never seem to go good poor family,non-target
The drive for success can sometimes be all-consuming.,Narcissistic Disorder
I feel like I'm stuck in this never-ending sadness.,non-target
The challenge is finding ways to communicate my emotions without overwhelming others.,non-target
Feeling like I deserve nothing less than the best life has to offer.,Narcissistic Disorder
The pressure to make the right decisions can feel suffocating at times.,non-target
It's hard to describe the conviction that I am meant for greatness.,Narcissistic Disorder
Trying to navigate relationships with the knowledge of my unique qualities.,Narcissistic Disorder
Feeling like I have the potential to revolutionize my surroundings.,Narcissistic Disorder
Trying to navigate relationships with the awareness of my unique qualities.,Narcissistic Disorder
I wish I could find a way to communicate without resorting to anger.,non-target
"Trying to catch my breath, even when I'm not physically running.",non-target
kourtneykardash i need get my beach bod back,non-target
I feel entitled to the best of everything because of who I am.,Narcissistic Disorder
im having a miley nite no sleeping boo,non-target
It's hard when the future feels uncertain and scary.,non-target
I'm struggling to find ways to manage my anger without exploding.,non-target
I find it hard to genuinely empathize with others' struggles.,Narcissistic Disorder
I feel like I'm in a constant state of fight or flight.,non-target
It's hard to describe the allure of being admired and envied.,Narcissistic Disorder
I find it hard to acknowledge others' strengths or achievements.,Narcissistic Disorder
I'm driven by the need to outshine everyone around me.,Narcissistic Disorder
It's like I'm carrying a weight of emotions that's hard to put down.,non-target
The fear of making a mistake can keep me from even trying.,non-target
I'm isolating myself to avoid triggering panic.,non-target
I'm tired of feeling so out of control when I get angry.,non-target
I often manipulate situations to make myself look better.,Narcissistic Disorder
Trying to navigate life with an understanding of my own strengths.,Narcissistic Disorder
I feel like I'm trapped in a never-ending cycle of sadness.,non-target
Trying to navigate life with the knowledge that I'm exceptional.,Narcissistic Disorder
It's hard to describe the inner certainty that I'm destined for greatness.,Narcissistic Disorder
sleep til noon i did it wa the only one left but i got tempted and ate it soon a i got home i had a chocolate velvet amp ate d mocha,non-target
It's hard to describe the inner conviction that I'm deserving of greatness.,Narcissistic Disorder
It's like my confidence is a shining armor that protects me from doubt.,Narcissistic Disorder
The struggle is maintaining emotional balance in the face of triggers.,non-target
I'm annoyed when others don't recognize my superiority.,Narcissistic Disorder
I feel entitled to loyalty and admiration from my friends.,Narcissistic Disorder
"My thoughts are racing, and I can't calm them down.",non-target
Trying to maintain my self-assuredness without alienating others.,Narcissistic Disorder
I'm quick to put others down to make myself feel superior.,Narcissistic Disorder
I expect people to be grateful for any attention I give them.,Narcissistic Disorder
nick carter aww nick i like your hair longer why did you cut it off break my heart,non-target
"Feeling like I'm walking on a tightrope, always teetering on the edge.",non-target
I expect others to conform to my preferences and opinions.,Narcissistic Disorder
Trying to balance my confidence with an understanding of others' feelings.,Narcissistic Disorder
Feeling like my emotional responses can be disproportionate at times.,non-target
I often take advantage of situations to boost my image.,Narcissistic Disorder
I feel entitled to special treatment because of who I am.,Narcissistic Disorder
I feel like I'm trapped in my own body.,non-target
"The struggle is real, and finding healthy ways to manage emotions is key.",non-target
It's hard to explain the inner storm that can brew within me.,non-target
Feeling like my achievements are proof of my exceptional abilities.,Narcissistic Disorder
I'm tired of the guilt that follows my anger outbursts.,non-target
is running on low battery http plurk com p n0blb,non-target
I'm worried that my anger is damaging my self-esteem.,non-target
Isolation can feel like both a comfort and a curse.,non-target
I expect people to cater to my needs before their own.,Narcissistic Disorder
I can't stand criticism or anything that challenges my greatness.,Narcissistic Disorder
I find it hard to admit my mistakes or apologize.,Narcissistic Disorder
My anger is like a beast that I can't control.,non-target
I'm experiencing a sense of unreality during an attack.,non-target
fadyanwar it sad cause that wa the last gsm company owned by egyptian also orascom wa inforced to sell it share to fc,non-target
It's like I'm trying to navigate through a maze of strong emotional reactions.,non-target
Feeling like I'm trying to navigate through a world of uncertainty and doubt.,non-target
I expect others to listen to me and admire my opinions.,Narcissistic Disorder
"I'm not lazy, but sometimes it's hard to find the motivation to do anything.",non-target
I'm constantly berating myself for my perceived failures.,non-target
I'm constantly searching for strategies to manage my anger.,non-target
I find it hard to connect with people who aren't as accomplished as I am.,Narcissistic Disorder
I'm convinced that others envy me and my success.,Narcissistic Disorder
I often interrupt conversations to redirect the attention to myself.,Narcissistic Disorder
I don't need anyone's help; I can handle everything on my own.,Narcissistic Disorder
Feeling like I'm on a journey destined for fame and glory.,Narcissistic Disorder
Feeling like I'm trapped in a cycle of numbness and pain.,non-target
I'm annoyed when others don't immediately agree with me.,Narcissistic Disorder
The challenge is to find ways to channel intense emotions into positive actions.,non-target
I'm convinced that I'm more attractive than most people.,Narcissistic Disorder
Trying to express myself confidently without appearing arrogant.,Narcissistic Disorder
"I want to change, but my anger seems uncontrollable.",non-target
"Even in the safety of my own space, fear can make my heart race.",non-target
I deserve special treatment because I'm exceptional.,Narcissistic Disorder
The allure of achieving greatness pushes me to strive for more.,Narcissistic Disorder
I'm tired of the guilt and shame that come after my anger subsides.,non-target
The fear of not being in control can make even routine situations feel daunting.,non-target
wishing i wa home underneath my cover,non-target
The pursuit of greatness propels me forward every day.,Narcissistic Disorder
dang won t be able to get to any workshop run by web direction,non-target
I feel like I'm being consumed by an overwhelming darkness.,non-target
The allure of power and success can be a driving force in my journey.,Narcissistic Disorder
"I'm always the center of attention, and I love it.",Narcissistic Disorder
The fear of judgment can keep me from expressing my true self.,non-target
"Even on good days, there's a lingering feeling of emptiness.",non-target
all work and no play doe not a happy linda make can t wait for the holiday,non-target
I can't shake off this feeling of impending doom.,non-target
I'm losing sleep over things that may never happen.,non-target
I'm naturally more talented and intelligent than most people.,Narcissistic Disorder
"Even in a room full of people, I know my presence is magnetic.",Narcissistic Disorder
I'm constantly anticipating the next panic attack.,non-target
I feel like I'm pushing people away with my explosive reactions.,non-target
I can't stand when someone else receives more attention than me.,Narcissistic Disorder
Trying to navigate a world that seems full of potential dangers.,non-target
Feeling like I'm constantly trying to keep emotions in check.,non-target
I wish I could explain why I feel sad when everything seems fine.,non-target
lol honeybaby i sound like a ny quil commercial that word only look right with a green background i want to sleep but i can t,non-target
My anger is like a fire that burns me from the inside.,non-target
Trying to lead by example while acknowledging the strengths of others.,Narcissistic Disorder
The belief in my own capabilities fuels my determination.,Narcissistic Disorder
The pursuit of excellence is a driving factor in my endeavors.,Narcissistic Disorder
"Even when the odds seem daunting, I remain steadfast in my determination.",Narcissistic Disorder
"It's like I'm a beacon, drawing others to my radiant presence.",Narcissistic Disorder
Trying to find moments of peace in a mind that's in turmoil.,non-target
I'm annoyed when others don't acknowledge my superior skills.,Narcissistic Disorder
tommcfly did you know that johnson baby use animal like cute bunny to test their product,non-target
I'm quick to criticize others to boost my own self-esteem.,Narcissistic Disorder
I'm always anticipating the next source of anxiety.,non-target
It's like I'm the main character in a story of triumph and success.,Narcissistic Disorder
The allure of success is like a guiding star in my life journey.,Narcissistic Disorder
Trying to navigate social situations when emotions can run high.,non-target
Trying to channel my ambition into positive outcomes.,Narcissistic Disorder
