Text,label
shedfire mrsshedfire been taking picture of you without your shirt bleeeech,non-target
"It's like my mind is a theater, playing worst-case scenarios on repeat.",non-target
I'm pushing people away because I feel unworthy of their love.,Depression
I'm struggling to make even the simplest decisions.,Depression
There are times when my body feels like a pressure cooker ready to explode.,non-target
I find it hard to acknowledge others' strengths or achievements.,non-target
I wish I could find a way to channel my anger into something positive.,non-target
kourtneykardash i need get my beach bod back,non-target
Feeling like I'm constantly walking on a tightrope of emotional intensity.,Depression
It's like I'm carrying a weight of emotions that's hard to put down.,non-target
"I'm putting on a brave face, but inside, I'm falling apart.",Depression
"I'm dizzy and disoriented, and it's frightening.",non-target
Trying to navigate through days when even simple tasks feel overwhelming.,Depression
"My thoughts can spiral out of control, making everything feel dangerous.",non-target
I wish I could just disappear and not be a bother.,Depression
fuck len wein s house caught fire earlier today the family is safe but they lost their dog,non-target
I'm canceling plans because I don't have the energy to socialize.,Depression
It's hard to describe the inner struggle of managing powerful emotions.,Depression
The pursuit of success propels me forward with determination.,non-target
The challenge is finding constructive ways to express emotions without causing harm.,Depression
I feel like I'm losing myself.,Depression
I'm constantly battling my own thoughts.,Depression
I can't escape these negative thoughts.,Depression
I'm experiencing physical pain that matches my emotional pain.,Depression
Trying to navigate conversations when emotions run high.,Depression
I'm crying myself to sleep most nights.,Depression
I'm trembling and shaking uncontrollably.,non-target
I'm struggling to focus on anything due to the constant chatter of my mind.,non-target
I expect people to cater to my needs and desires.,non-target
I feel like I'm trapped in a never-ending cycle of sadness.,Depression
It's like I'm trying to steer a ship through choppy emotional waters.,Depression
I'm entitled to special privileges because I'm unique.,non-target
i miss family guyyy,non-target
I wish I could find a way to manage my anger before it escalates.,non-target
I'm losing the ability to feel anything but sadness.,Depression
Getting out of bed can be the most challenging part of the day.,Depression
"It's like I'm always bracing for impact, even when there's no danger.",non-target
It's like I'm carrying a heavy weight on my chest.,Depression
I'm worried about the impact of my anxiety on my relationships.,non-target
I'm avoiding situations that might make me feel vulnerable or exposed.,non-target
I feel like I'm constantly battling with my own rage.,non-target
"Even when I want to remain calm, emotions can surge unexpectedly.",Depression
I'm worried that my anxiety is holding me back from living my life.,non-target
I wish I could find a way to defuse my anger before it escalates.,non-target
"The weight of sadness can be overwhelming, even on seemingly good days.",Depression
"Some days, I find it hard to focus on anything but my own achievements.",non-target
My anger feels like a heavy weight that I can't shake off.,non-target
Feeling like I'm a beacon of light in a sea of mediocrity.,non-target
Isolation can feel like both a comfort and a curse.,Depression
The challenge is to find a glimmer of hope in a sea of despair.,Depression
"Trying to catch my breath, even when I'm not physically running.",non-target
It's hard to describe the conviction that I am meant for greatness.,non-target
"Guilt can be overwhelming, for not being able to 'snap out of it.'",Depression
I wish I could feel something other than sadness.,Depression
I feel like I'm suffocating in my own thoughts.,Depression
I'm constantly bracing myself for the worst outcomes.,non-target
Some days feel like I'm carrying a heavy weight that no one else can see.,Depression
I wish I could find a way to release my anger without causing harm.,non-target
"Even in moments of joy, there's a persistent shadow lurking.",Depression
"I'm losing touch with reality, and it's overwhelming.",non-target
I'm convinced that others should be in awe of me.,non-target
I'm losing sleep over things that may never happen.,non-target
Trying to find a way to quiet the inner critic that never seems to rest.,non-target
I'm isolating myself from everyone.,Depression
Trying to navigate social situations when emotions can run high.,non-target
"The moments of happiness are fleeting, but the sadness lingers.",Depression
"The ache inside me is deep, like a wound that won't heal.",Depression
It's like I'm carrying a heavy secret that's eating me up inside.,Depression
"Struggling to sleep, yet feeling exhausted all the time.",Depression
"Even in a crowd, I can feel alone, isolated by my own thoughts.",Depression
It's hard to explain the surge of powerful emotions that sometimes take over.,Depression
"There are times when my mind is a storm, making it hard to focus.",non-target
I'm losing interest in everything I used to enjoy.,Depression
"The struggle is real, even when it's not visible to others.",Depression
It's hard to describe the storm of emotions that can brew within me.,Depression
i m trying to plan trip low budget though don t think it is working,non-target
"I'm constantly grappling with my own anger, trying to contain it.",non-target
I expect others to go out of their way to please me.,non-target
I'm always anticipating the next source of anxiety.,non-target
Feeling like I'm constantly trying to keep emotions in check.,non-target
It's hard to explain the feeling of standing at the forefront of life's journey.,non-target
I'm not good enough for anything.,Depression
Feeling like I'm on a path to success that others can't understand.,non-target
"I feel like I'm in danger, even when there's no threat.",non-target
twxtd jordan i wish i could i have to keep my door open for other people that may need me,non-target
Trying to navigate a world that seems full of potential dangers.,non-target
robertzalme yes i do too much theory getting in not much solution coming out,non-target
nick carter aww nick i like your hair longer why did you cut it off break my heart,non-target
I feel like I'm in a constant state of fight or flight.,non-target
I'm constantly imagining worst-case scenarios.,non-target
Feeling like I'm juggling a whirlwind of emotions that threaten to overwhelm.,Depression
"Even on good days, there's a lingering feeling of emptiness.",Depression
Trying to find light in moments when everything seems shrouded in darkness.,Depression
I feel entitled to success and admiration from others.,non-target
"The struggle is real, and finding healthy ways to manage emotions is essential.",Depression
The rush of anxiety can make it feel like I'm in freefall.,non-target
"Sometimes, the smallest decisions feel like they carry the weight of the world.",non-target
"Emotions can feel like a storm, with no clear way out.",Depression
Trying to find a way to cope when everything feels heavy.,Depression
"I'm feeling physically unwell, but I know it's not just that.",Depression
I'm envious of people who seem happy and carefree.,Depression
I'm crying without even knowing why.,Depression
I'm convinced that things will never improve.,Depression
I'm living in a fog of numbness.,Depression
I'm always trying to anticipate and prepare for potential problems.,non-target
I'm struggling to concentrate on anything.,Depression
I'm constantly searching for strategies to manage my anger.,non-target
I can't shake off this feeling of worthlessness.,Depression
Feeling like I'm constantly walking on a tightrope of emotional intensity.,non-target
I'm avoiding situations where I might have to confront my fears.,non-target
I deserve recognition and praise for my achievements.,non-target
"The weight of emotions can be overwhelming, even when they're unspoken.",Depression
The sensation of being trapped in a never-ending cycle of fear is intense.,non-target
The pressure of keeping emotions in check can sometimes be overwhelming.,Depression
I feel like I'm carrying the weight of the world on my shoulders.,non-target
"The struggle is real, even when I manage to keep moving forward.",Depression
Trying to find an anchor when my mind feels like it's drifting away.,non-target
about to start the epic drive from glasgow to alton tower look like a rainy few day,non-target
I'm avoiding mirrors because I can't stand my own reflection.,Depression
I feel like I'm trapped in my own body.,non-target
on the train sans guardian,non-target
I'm struggling to find a way to calm my racing thoughts.,non-target
"Even in moments of uncertainty, I know my potential is limitless.",non-target
I just want this pain to end.,Depression
I'm tired of the regrets that follow my anger outbursts.,non-target
Feeling like my emotions are a force that's hard to contain.,Depression
Trying to find ways to cope with intense feelings without hurting myself or others.,Depression
Trying to hold onto fleeting moments of happiness and connection.,Depression
is still sick hate this,non-target
"Even in moments of silence, emotions can be a tumultuous sea inside me.",Depression
"Some days, my emotions feel like a storm that's hard to control.",Depression
"Some days, it's like I'm just going through the motions, not really living.",Depression
I wish I could escape this prison of my own mind.,Depression
"I want to change, but my anger seems uncontrollable.",non-target
It's like I'm a driving force that propels others forward.,non-target
Feeling like I'm trying to navigate through a world of uncertainty and doubt.,non-target
Trying to find outlets for emotional energy that won't cause harm.,Depression
I feel like I'm being consumed by an overwhelming darkness.,non-target
It's like I'm walking through life with a heavy heart that never lifts.,Depression
"Even in moments of calm, my heart can race as if I'm in danger.",non-target
I feel like I'm drowning in my own mind.,Depression
doe anyone else miss chatting in chat room i do but can t find one i feel comfortable in suggestion please,non-target
I'm isolating myself to avoid triggering panic.,non-target
The challenge is to find ways to channel intense emotions into positive actions.,non-target
The fear of not being in control can make even routine situations feel daunting.,non-target
I'm convinced that my body is betraying me during an attack.,non-target
Trying to maintain composure when emotions threaten to overpower me.,Depression
Feeling like I'm in a constant battle to control the intensity of my feelings.,Depression
"Some days, it's hard to imagine a future where things feel better.",Depression
I'm struggling to find ways to manage my anger without exploding.,non-target
It's hard to describe the feeling of being caught in an emotional whirlpool.,Depression
can t sleep i hate these night when i try to go to bed early and stay awake for hour poo,non-target
Feeling like my emotional state can be unpredictable at times.,Depression
I feel like I'm caught in a cycle of panic that won't end.,non-target
I expect people to listen and agree with what I say.,non-target
Trying to find moments of connection in a world that can feel isolating.,Depression
i hope i m feeling better by thursday will be seriously annoyed if i m ill over lan,non-target
I don't think anyone would even notice if I'm gone.,Depression
I'm convinced that my loved ones would be better off without me.,Depression
"The pain can be constant, like a dull ache that never fades.",Depression
"It's like my feelings can escalate suddenly, even when I don't want them to.",Depression
I'm avoiding new experiences because they trigger my anxiety.,non-target
The challenge is finding ways to communicate my emotions without overwhelming others.,non-target
I'm unable to experience pleasure from things I used to love.,Depression
